G-word;E-word;WdNum;VAL_Mean;VAL_SD;ARO_Mean_(ANEW);ARO_SD_(ANEW);ARO_Mean_(BAWL);ARO_SD_(BAWL);DOM_Mean;DOM_SD;POT_Mean;POT_SD;IMA_MEAN;IMA_SD;freq_Leipzig;freq_SUBTLEX;#_letters;#_syllables;word_class;N_orth;HFN;NF_MAX;F_SUM
Misshandlung;abuse;1;-2.60;1.06;7.65;1.60;4.35;0.80;2.75;1.21;7.13;1.64;3.70;1.42;120.00;0.55;12;3;S;0;0;0.00;0.00
Unfall;accident;2;-2.35;0.67;7.30;1.59;4.24;0.70;3.06;1.70;6.43;1.41;4.32;1.81;875.00;71.46;6;1;S;2;0;4.83;4.83
Unfall;accident;2;-2.35;0.67;7.30;1.59;4.24;0.70;3.06;1.70;6.43;1.41;4.32;1.81;1937.00;71.46;6;1;S;2;0;4.83;4.83
Erfolg;achievement;3;2.10;0.64;5.90;1.48;3.32;1.20;6.31;1.65;6.15;1.49;3.05;1.84;9329.00;46.97;6;2;S;0;0;0.00;0.00
Erfolg;achievement;3;2.10;0.64;5.90;1.48;3.32;1.20;6.31;1.65;6.15;1.49;3.05;1.84;9329.00;46.97;6;2;S;0;0;0.00;0.00
aktivieren;activate;4;0.81;0.66;5.75;1.37;2.88;1.07;6.25;1.18;5.84;1.14;2.60;1.39;123.00;11.46;10;4;V;0;0;0.00;0.00
bewundert;admired;5;1.44;1.09;5.40;1.54;2.88;0.95;5.94;1.10;5.45;1.58;2.70;1.13;221.00;6.18;9;3;A;2;2;22.67;22.83
anbetungswürdig;adorable;6;0.40;0.91;5.55;1.67;3.00;1.23;5.13;1.52;6.13;1.67;2.45;1.47;2.00;0.31;15;5;A;0;0;0.00;0.00
Zuneigung;affection;7;1.90;0.90;4.20;2.09;2.40;1.28;6.25;1.63;5.63;1.76;3.86;1.68;216.00;6.58;9;3;S;0;0;0.00;0.00
ängstlich;afraid;8;-1.38;0.96;6.05;1.70;3.54;0.86;4.44;1.36;3.56;1.97;4.14;1.74;175.00;7.72;9;2;A;0;0;0.00;0.00
aggressiv;aggressive;9;-1.60;0.63;7.32;1.11;4.15;0.88;5.19;1.83;5.10;2.49;4.38;1.28;432.00;6.54;9;3;A;0;0;0.00;0.00
Qual;agony;10;-2.70;0.67;7.00;1.08;4.11;1.02;3.81;1.74;6.75;1.45;3.78;1.39;243.00;6.22;4;1;S;2;0;4.33;4.33
Alarm;alert;11;-2.55;0.52;7.20;1.82;4.73;0.65;3.94;1.47;6.55;1.08;3.55;1.44;601.00;27.68;5;2;S;0;0;0.00;0.00
allein;alone;12;-1.80;1.03;5.65;2.48;2.45;1.32;4.19;1.67;5.53;1.84;3.33;1.50;11204.00;305.52;6;2;A;0;0;0.00;0.00
entfernt;aloof;13;-0.60;0.91;4.95;2.06;2.77;1.24;4.50;1.18;4.44;1.16;2.75;1.52;3538.00;57.36;8;2;A;0;0;0.00;0.00
Ehrgeiz;ambition;14;1.50;1.18;6.05;1.28;3.56;0.70;6.25;1.24;6.20;1.24;2.89;1.05;513.00;5.43;7;2;S;0;0;0.00;0.00
Krankenwagen;ambulance;15;-0.79;1.05;6.30;1.84;3.23;1.18;4.63;2.08;5.88;1.42;6.70;0.57;130.00;22.01;12;4;S;0;0;0.00;0.00
Engel;angel;16;2.15;1.27;4.10;1.86;2.22;1.31;4.31;1.85;4.60;2.16;6.05;0.90;792.00;40.71;5;2;S;3;0;28.67;45.33
Ärger;anger;17;-1.90;0.57;6.65;1.23;3.94;0.94;5.44;1.94;6.43;1.11;4.00;1.89;1432.00;90.83;5;2;S;0;0;0.00;0.00
verärgert;angry;18;-1.27;0.59;6.40;0.88;3.81;1.02;5.44;1.57;6.34;2.01;3.48;1.12;507.00;14.61;9;3;A;1;1;5.83;5.83
verängstigt;anguished;19;-1.56;1.09;6.00;1.34;3.65;0.85;4.44;1.72;5.63;1.61;3.10;1.37;54.00;7.36;11;3;A;0;0;0.00;0.00
verängstigt;anguished;19;-1.56;1.09;6.00;1.34;3.65;0.85;4.44;1.72;5.63;1.61;3.10;1.37;54.00;7.36;11;3;A;0;0;0.00;0.00
ärgern;annoy;20;-1.22;0.66;5.95;1.05;3.75;0.82;5.06;1.73;5.65;1.39;3.80;1.87;285.00;11.46;6;2;V;0;0;0.00;0.00
gespannt;anxious;21;0.73;1.49;6.05;1.54;3.38;0.90;5.38;1.60;5.96;1.76;3.24;1.09;639.00;10.12;8;2;A;0;0;0.00;0.00
Beweglichkeit;agility;22;1.53;0.92;5.65;1.46;2.88;0.99;6.06;1.57;5.03;1.85;4.10;1.55;120.00;0.71;13;4;S;0;0;0.00;0.00
Armee;army;23;-2.10;0.97;6.30;2.25;4.00;1.00;3.69;2.52;6.75;1.41;5.09;1.41;3299.00;67.52;5;2;S;0;0;0.00;0.00
